start,end,head_mean,head_std,head_min,head_max,stable_0_mean,stable_0_std,stable_0_min,stable_0_max,stable_1_mean,stable_1_std,stable_1_min,stable_1_max,stable_2_mean,stable_2_std,stable_2_min,stable_2_max,stable_3_mean,stable_3_std,stable_3_min,stable_3_max,stable_4_mean,stable_4_std,stable_4_min,stable_4_max,tail_mean,tail_std,tail_min,tail_max,Heat No,Bundle No,Str,Grade,Profile,Sec,Lth/ Wth,Wgt/ Thk,Load Yield,UTS,Final,GL Initial,Area Temp,Yield Stress,UTS.1,%EL,UTS/ NS
2025-04-24 06:37:56.594872,2025-04-24 06:38:19.749466,1037.988492105263,22.431209251378434,916.0,1060.0,1042.8797025641027,6.501004075375216,1024.0,1053.8,1044.6181371794871,10.112509348174237,1021.0,1062.0,1056.5729320512821,7.202168225268233,1036.0,1069.5,1069.9995333333336,3.8642583066395724,1058.6666,1075.0,1066.6715220779222,6.8494000491710985,1045.0,1075.0,1059.6161324324326,16.93495407522648,967.75,1072.6666,C099545,11,1,SAILSEQRIS1786...,TMT 16 mm,16,393,613,115.56,136.17,97.2,80,199,581,684,21.5,1.18
2025-04-24 06:38:33.249466,2025-04-24 06:38:56.688381,1036.9237684210525,13.605268309582598,1008.4,1059.8572,1037.5672417721519,9.847230609273204,1014.25,1052.0,1041.9611867088606,13.713348920256468,1001.6667,1063.5,1058.4923166666667,5.838093988120969,1046.0,1070.2858,1069.924576923077,4.535925520670607,1054.0,1076.0,1066.8371538461538,9.52500265684515,1036.0,1077.0,1060.9483631578948,12.227256487032852,1033.0,1074.0,C099545,21,1,SAILSEQRIS1786...,TMT...,16,391,608,117.61,139.53,96.9,80,198,594,705,21.13,1.19
2025-04-24 07:35:11.604458,2025-04-24 07:35:35.292096,1060.4445026315789,12.254977904475467,1008.4545,1076.2,1039.025598,13.164522923763496,1019.0,1063.1,1036.2490324999999,8.608499126066487,1017.0,1050.0,1062.6329632911393,7.318188674980267,1046.0,1077.0,1066.6843392405062,25.563894520233912,990.0,1096.0,1069.65157721519,27.22104513463401,1005.0,1096.0,1059.3791684210526,22.43606413132486,1002.0,1085.0,C099547,11,1,SAILSEQRIS1786...,TMT...,16,386,599,114.88,134.99,96.8,80,198,580,682,21.0,1.18
2025-04-24 07:35:48.889644,2025-04-24 07:36:12.589644,1054.4581,22.55721910993272,924.4,1074.0,1041.8207200000002,9.810663987715005,1024.0,1058.5555,1046.5125775000001,6.942875630384091,1028.1,1055.2,1060.5178712499999,10.787681634397272,1017.0,1080.0,1070.74641875,27.44809071675503,972.0,1095.0,1059.2124443037974,35.17419359721041,945.0,1100.0,1031.6661842105264,53.37172346911357,822.0,1084.8572,C099547,21,1,SAILSEQRIS1786...,TMT...,16,380,589,118.79,140.09,97.0,80,197,603,711,21.25,1.18
2025-04-24 08:32:08.586513,2025-04-24 08:32:32.251580,1041.9918368421054,7.649816142762223,1028.0,1057.0,1043.27019375,6.612681404567655,1030.0,1055.7778,1050.2540924999998,5.185314919327582,1036.7778,1060.0,1064.1641151898732,4.354020941173408,1054.0,1072.0,1068.4951139240507,6.313936103750146,1049.0,1076.0,1067.7378012658228,4.9694813641711715,1051.7,1073.7,1035.3469657894736,89.63614967433402,728.6667,1074.0,C099550,11,1,SAILSEQRIS1786...,TMT...,16,390,606,113.05,135.29,97.1,80,198,571,683,21.37,1.2
2025-04-24 08:32:46.001580,2025-04-24 08:33:09.412976,1043.42265,9.693443428804452,1026.0,1060.0,1043.3979126582278,8.519927760307796,1024.1,1058.0,1052.4827037974683,7.961318019270404,1032.0,1064.0,1065.6918848101266,4.028395261177724,1056.0,1071.75,1074.285675949367,3.2087917361849834,1066.0,1080.0,1070.3747126582277,4.3244910139916,1059.0,1079.0,1062.1282026315791,22.83645141582401,957.25,1074.0,C099550,21,1,SAILSEQRIS1786...,TMT...,16,386,604,117.29,138.9,96.9,80,199,589,698,21.13,1.19
2025-04-24 09:29:21.818226,2025-04-24 09:29:45.318226,1008.5908894736843,21.206543070525388,984.0,1049.0,982.8121321518987,8.051232981655454,961.0,1004.0,989.283018734177,7.015195952008054,975.6,1000.0,1011.0518492405063,12.543594250305791,982.0,1041.0,1046.3767063291136,8.906970557167087,1028.0,1061.0,1045.4008,10.300654408300021,1018.0,1060.0,1042.2203210526316,15.209168288295936,969.1429,1053.875,C099552,11,1,SAILSEQRIS1786...,TMT...,16,396,612,114.83,135.39,97.4,80,197,583,687,21.75,1.18
2025-04-24 09:29:59.019465,2025-04-24 09:30:22.305593,1007.6920736842104,18.205852993321233,987.0,1049.0,981.9436953846156,7.472571089062325,970.5714,1001.0,985.9527961538462,8.348671284272854,973.0,1003.0,1014.0317051282051,11.734303216338004,988.0,1039.75,1047.470976923077,6.565173777008316,1035.3,1060.0,1046.682669230769,7.78012976420523,1030.0,1057.0,1043.1906894736842,11.633841886932988,987.0,1054.0,C099552,21,1,SAILSEQRIS1786...,TMT...,16,394,609,114.53,134.88,97.0,80,197,581,685,21.25,1.18
2025-04-24 10:26:22.685634,2025-04-24 10:26:45.835634,1009.6945105263158,12.668846853618009,952.75,1037.0,993.1331935897434,7.678977411536187,973.0,1009.55554,996.1693325641027,8.052382954544578,980.0,1010.55554,1012.5867494871794,8.254475371119785,989.0,1028.0,1041.3039753246753,6.574280693896955,1029.0,1052.0,1050.6458805194804,4.417191281978773,1042.0,1060.0,1038.2950105263158,36.42787250056177,895.4286,1062.0,C099555,11,1,SAILSEQRIS1786...,TMT...,16,405,633,120.47,141.37,97.6,80,199,605,710,22.0,1.17
2025-04-24 10:26:59.081461,2025-04-24 10:27:22.020206,1011.243222162162,9.687768183480761,996.0,1035.0,996.5397319230769,7.872027745529555,971.0,1012.0,997.3562448717948,8.333516851372911,978.7778,1013.0,1009.5652194871797,6.292484057144932,1000.0,1034.1428,1040.5824474358974,8.518441188428056,1024.6,1055.0,1049.711825974026,6.742903629243389,1027.1111,1060.0,1036.8319810810813,39.41776901474651,874.8571,1058.0,C099555,21,1,SAILSEQRIS1786...,TMT...,16,398,623,123.12,143.78,97.1,80,199,619,723,21.37,1.17
2025-04-24 10:44:52.775164,2025-04-24 10:45:15.975164,983.624377631579,29.36731331957512,852.8889,1014.0,968.3956102564101,9.183310793854078,956.0,992.0,968.0001820512821,6.5328781011029955,958.0,987.0,990.4500535897436,5.085804296515649,975.0,1001.0,1000.6914588461538,8.498947424715478,977.0,1016.0,1010.7196480519482,7.791714750527107,993.0,1026.0,1013.3407536842105,28.16064873802414,899.0,1037.0,C099559,11,1,SAILSEQRIS1786...,TMT...,16,387,604,113.18,133.18,96.8,80,199,569,669,21.0,1.18
2025-04-24 10:45:29.689877,2025-04-24 10:45:53.086646,992.5685894736841,13.08098270919523,964.0,1022.0,966.627260886076,9.079221864736438,956.0,986.625,964.8100822784811,5.831530892900347,951.0,975.6667,985.9139778481014,6.756339024370176,975.0,1001.0,1003.1233216666668,6.508612033711174,989.25,1013.0,1012.7124692307692,6.051059502898016,1001.0,1023.0,1017.4351315789474,22.600148472163642,886.6,1035.0,C099559,21,1,SAILSEQRIS1786...,TMT...,16,382,596,118.08,138.48,97.4,80,199,593,696,21.75,1.17
2025-04-24 12:20:14.273711,2025-04-24 12:20:37.786837,1064.080136842105,5.162790550343309,1053.0,1075.0,1056.2714025316454,3.81513987991618,1046.0,1063.0,1055.7200860759494,4.929116084845286,1043.0,1062.0,1063.6071734177215,5.378450236388734,1051.0,1071.0,1050.240176923077,12.84186616499799,994.0,1068.5,1059.5272243589743,16.44972198619676,1008.0,1081.0,1052.5363210526316,27.146660553035005,946.0,1078.0,C099561,11,1,SAILSEQRIS1786...,TMT...,16,387,598,112.1,131.01,96.9,80,197,569,665,21.13,1.17
2025-04-24 12:20:51.098444,2025-04-24 12:21:14.848444,1056.8314102564102,27.877367253324593,916.0,1072.5,1055.8017187500002,4.823019632524833,1044.0,1064.0,1055.54694,4.65717998767712,1044.0,1062.0,1065.3984125000002,4.518816361191372,1053.0,1072.0,1069.952653164557,7.8382991630647405,1045.0,1080.0,1068.4830265822784,13.007535068662671,1029.0,1080.625,1063.0202794871798,22.46462063808896,940.6667,1078.0,C099561,21,1,SAILSEQRIS1786...,TMT...,16,390,604,114.97,133.74,97.0,80,197,584,679,21.25,1.16
2025-04-24 13:16:37.323212,2025-04-24 13:17:00.863767,1045.0484868421051,17.60199582363396,1008.375,1071.0,1019.501090506329,9.658431476757643,993.2857,1035.0,1012.6466030379747,12.251912185269271,978.0,1026.0,1029.3394670886075,12.118860033931448,1002.0,1046.7142,1052.6780873417722,10.109535238859152,1031.0,1068.0,1056.2892759493673,10.764528428369891,1028.0,1067.5,1018.3986710526314,89.41597667118617,700.7,1054.0,C099564,11,1,SAILSEQRIS1786...,TMT...,16,384,594,113.21,132.58,96.6,80,197,575,673,20.75,1.17
2025-04-24 13:17:14.813767,2025-04-24 13:17:38.353559,1048.967752631579,15.580606058706909,1011.0,1069.0,1027.0082278481011,11.171846923175039,999.0,1043.0,1017.6703797468356,10.36347505558775,985.0,1032.0,1032.9789531645567,12.908951078612033,1000.0,1052.25,1055.9910544303798,10.77274984768129,1026.0,1071.0,1064.7801556962024,7.497784166633648,1039.0,1072.25,1032.884044736842,81.7686646313019,713.3333,1060.0,C099564,21,1,SAILSEQRIS1786...,TMT...,16,383,595,117.34,137.02,96.9,80,198,593,692,21.13,1.17
2025-04-24 13:47:43.490507,2025-04-24 13:48:06.990655,1066.3739447368418,5.562361386682164,1053.6,1080.0,1062.58867625,5.581971192485008,1051.0,1072.0,1061.0740189873418,4.607844576151433,1047.0,1068.0,1064.4109443037974,3.359132405415807,1057.0,1069.7778,1065.5500012658229,5.682187675929545,1052.0,1072.8,1055.398446835443,8.104703618378197,1042.0,1073.0,1051.738875263158,12.807663413627251,1006.0,1066.0,C099567,11,1,SAILSEQRIS1786...,TMT...,16,380,590,116.72,136.55,96.4,80,198,589,690,20.5,1.17
2025-04-24 13:48:20.502768,2025-04-24 13:48:43.802768,1068.1826815789473,4.9048656041237475,1063.0,1081.0,1062.8694012658227,7.398409072286813,1043.0,1073.0,1060.2041743589741,7.186568632199102,1034.0,1069.0,1064.9597602564104,4.219974723791476,1055.6,1072.0,1067.6154807692308,5.745577470057346,1051.8,1075.0,1062.0034205128204,6.283376166848455,1052.0,1074.0,1058.8379947368421,7.482775612606606,1049.6,1080.0,C099567,21,1,SAILSEQRIS1786...,TMT...,16,374,581,122.46,143.38,97.2,80,198,618,724,21.5,1.17
